Source,Target,Weight,Source_Type,Target_Type
1519,12107,1,Expanded_Known_Family,Potential_Novel_Family
1519,11385,1,Expanded_Known_Family,Potential_Novel_Family
1519,6496,2,Expanded_Known_Family,Expanded_Known_Family
1519,10949,1,Expanded_Known_Family,Potential_Novel_Family
1519,599,1,Expanded_Known_Family,Known_Family_Only
4113,7114,1,Expanded_Known_Family,Potential_Novel_Family
574,688,1,Expanded_Known_Family,Potential_Novel_Family
574,603,2,Expanded_Known_Family,Potential_Novel_Family
574,5656,1,Expanded_Known_Family,Expanded_Known_Family
3142,5255,1,Expanded_Known_Family,Potential_Novel_Family
3142,329,1,Expanded_Known_Family,Potential_Novel_Family
3142,9301,1,Expanded_Known_Family,Potential_Novel_Family
1146,9955,1,Potential_Novel_Family,Known_Family_Only
1146,7179,1,Potential_Novel_Family,Potential_Novel_Family
3429,3623,1,Potential_Novel_Family,Potential_Novel_Family
3429,4130,1,Potential_Novel_Family,Potential_Novel_Family
3623,4130,1,Potential_Novel_Family,Potential_Novel_Family
3623,10540,1,Potential_Novel_Family,Known_Family_Only
3623,12039,1,Potential_Novel_Family,Known_Family_Only
6146,8431,2,Potential_Novel_Family,Expanded_Known_Family
8431,6047,1,Expanded_Known_Family,Known_Family_Only
1836,11806,1,Expanded_Known_Family,Potential_Novel_Family
1836,7623,1,Expanded_Known_Family,Potential_Novel_Family
1836,6924,1,Expanded_Known_Family,Known_Family_Only
1836,9581,1,Expanded_Known_Family,Known_Family_Only
1836,10044,1,Expanded_Known_Family,Potential_Novel_Family
5314,8800,1,Potential_Novel_Family,Known_Family_Only
638,3571,1,Expanded_Known_Family,Expanded_Known_Family
638,6962,1,Expanded_Known_Family,Potential_Novel_Family
3571,10511,1,Expanded_Known_Family,Potential_Novel_Family
3571,1380,1,Expanded_Known_Family,Expanded_Known_Family
3571,10492,1,Expanded_Known_Family,Expanded_Known_Family
3571,8009,1,Expanded_Known_Family,Expanded_Known_Family
3571,565,3,Expanded_Known_Family,Expanded_Known_Family
3571,11288,1,Expanded_Known_Family,Known_Family_Only
3571,10666,1,Expanded_Known_Family,Potential_Novel_Family
3571,10406,2,Expanded_Known_Family,Known_Family_Only
9270,11846,1,Potential_Novel_Family,Potential_Novel_Family
10463,11507,1,Potential_Novel_Family,Expanded_Known_Family
11507,10482,30,Expanded_Known_Family,Expanded_Known_Family
11507,8000,6,Expanded_Known_Family,Expanded_Known_Family
11507,10998,9,Expanded_Known_Family,Expanded_Known_Family
11507,8964,2,Expanded_Known_Family,Expanded_Known_Family
11507,300,1,Expanded_Known_Family,Potential_Novel_Family
11507,3020,1,Expanded_Known_Family,Known_Family_Only
11507,11066,3,Expanded_Known_Family,Expanded_Known_Family
11507,12637,1,Expanded_Known_Family,Potential_Novel_Family
11507,12888,1,Expanded_Known_Family,Known_Family_Only
11507,948,1,Expanded_Known_Family,Potential_Novel_Family
11507,1672,1,Expanded_Known_Family,Expanded_Known_Family
11507,10601,1,Expanded_Known_Family,Potential_Novel_Family
11507,11442,5,Expanded_Known_Family,Expanded_Known_Family
11507,2493,1,Expanded_Known_Family,Expanded_Known_Family
11507,9200,1,Expanded_Known_Family,Known_Family_Only
11507,822,1,Expanded_Known_Family,Expanded_Known_Family
11507,10718,1,Expanded_Known_Family,Known_Family_Only
11507,4458,1,Expanded_Known_Family,Expanded_Known_Family
11507,11724,1,Expanded_Known_Family,Known_Family_Only
11507,13,1,Expanded_Known_Family,Expanded_Known_Family
11507,3428,1,Expanded_Known_Family,Potential_Novel_Family
3883,8588,1,Potential_Novel_Family,Potential_Novel_Family
1535,6810,1,Expanded_Known_Family,Known_Family_Only
1535,437,2,Expanded_Known_Family,Expanded_Known_Family
1535,1576,2,Expanded_Known_Family,Expanded_Known_Family
1535,1588,1,Expanded_Known_Family,Potential_Novel_Family
1535,4383,1,Expanded_Known_Family,Potential_Novel_Family
1535,3514,2,Expanded_Known_Family,Potential_Novel_Family
1535,1897,2,Expanded_Known_Family,Expanded_Known_Family
1535,1427,1,Expanded_Known_Family,Known_Family_Only
1535,1511,1,Expanded_Known_Family,Expanded_Known_Family
1535,4020,1,Expanded_Known_Family,Potential_Novel_Family
1535,4332,1,Expanded_Known_Family,Potential_Novel_Family
4476,12564,1,Potential_Novel_Family,Known_Family_Only
3381,5988,1,Expanded_Known_Family,Expanded_Known_Family
3381,8810,1,Expanded_Known_Family,Potential_Novel_Family
3381,7209,1,Expanded_Known_Family,Known_Family_Only
5988,1511,1,Expanded_Known_Family,Expanded_Known_Family
5988,3162,1,Expanded_Known_Family,Expanded_Known_Family
5988,12459,1,Expanded_Known_Family,Potential_Novel_Family
5988,1676,1,Expanded_Known_Family,Expanded_Known_Family
