Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(2288, 11633)",2,[11633],Fam_2288=Unknown_Defense
"(5354, 10411)",2,[5354],Fam_10411=Unknown_Defense
"(954, 6513)",2,[6513],Fam_954=RM__Type_I_MTases
"(5173, 8850)",2,[5173],Fam_8850=PARIS_II__AriB_DUF4435_II
"(5, 7385)",2,"[5, 7385]",Pure_Novel_System
"(6740, 9026)",2,[6740],Fam_9026=DarTG__DarT
"(548, 8521, 11769, 11879)",2,[11769],Fam_548=RM_Type_III__Type_III_MTases; Fam_8521=Unknown_Defense; Fam_11879=Unknown_Defense
"(57, 315, 1607, 2679, 7892)",2,[2679],Fam_57=RM_Type_IIG__Type_IIG; Fam_315=Zorya_TypeI__ZorD; Fam_1607=Zorya__ZorA; Fam_7892=Zorya__ZorB
"(4232, 8037)",2,"[4232, 8037]",Pure_Novel_System
"(13168, 13859)",2,[13168],Fam_13859=Unknown_Defense
"(3514, 4965)",2,[4965],Fam_3514=RM_Type_II__Type_II_MTases
"(3617, 7162)",2,[7162],Fam_3617=AbiEii__AbiEi
"(5342, 7822)",2,[7822],Fam_5342=SanaTA__SanaT
"(1270, 2199)",2,[1270],Fam_2199=Dnd__DndC
"(2711, 10340)",2,[10340],Fam_2711=Unknown_Defense
"(6007, 8484)",2,[8484],Fam_6007=Unknown_Defense
"(2075, 6102)",2,[6102],Fam_2075=Unknown_Defense
"(9415, 12499)",2,[12499],Fam_9415=Unknown_Defense
"(4252, 10418)",2,[10418],Fam_4252=cas1_I_II_III_IV_V_VI_1
"(3656, 8880)",2,[8880],Fam_3656=Septu__PtuA
"(12740, 12741)",2,[12740],Fam_12741=Unknown_Defense
"(442, 4135)",2,[442],Fam_4135=RM_Type_II__Type_II_MTases
"(504, 7196)",2,[504],Fam_7196=Hachiman__HamA
"(309, 5754)",2,[5754],Fam_309=RM__Type_I_REases
"(8310, 9449, 12698)",2,[12698],Fam_8310=Dpd__QueC; Fam_9449=Unknown_Defense
"(8852, 9700)",2,[9700],Fam_8852=AbiEii__AbiEii
"(5363, 12703)",2,[5363],Fam_12703=Unknown_Defense
"(11246, 14123)",2,[11246],Fam_14123=Unknown_Defense
"(3639, 12265)",2,[3639],Fam_12265=cas2_I_II_III_IV_V_VI_3
"(187, 358, 7445, 9944, 11095)",2,[11095],Fam_187=BREX__brxC; Fam_358=BREX__pglX1; Fam_7445=BREX__brxA_DUF1819; Fam_9944=BREX__brxB_DUF1788
"(340, 6223)",2,[6223],Fam_340=RM__Type_I_REases
"(4969, 7504)",2,[4969],Fam_7504=Unknown_Defense
"(2109, 4207)",2,[4207],Fam_2109=RM__Type_I_MTases
"(5204, 13033)",2,[13033],Fam_5204=Unknown_Defense
"(6338, 10454)",2,[10454],Fam_6338=AbiEii__AbiEii
"(10737, 10919)",2,[10737],Fam_10919=Unknown_Defense
"(4450, 12651)",2,[12651],Fam_4450=Unknown_Defense
"(3420, 5258)",2,[3420],Fam_5258=RM_Type_II__Type_II_MTases
"(8824, 10244)",2,[10244],Fam_8824=AbiEii__AbiEi
"(663, 7356, 10928)",2,"[7356, 10928]",Fam_663=Unknown_Defense
"(118, 12473)",2,"[118, 12473]",Pure_Novel_System
"(10271, 13076)",2,[10271],Fam_13076=Unknown_Defense
"(2321, 8818)",2,"[2321, 8818]",Pure_Novel_System
"(10323, 12306)",2,[10323],Fam_12306=AbiEii__AbiEi
"(3544, 7233)",2,[7233],Fam_3544=RM_Type_II__Type_II_REases
