composition,family_count,system_frequency,has_novel_family,novel_families
"(2904, 5803)",2,2,True,[2904]
"(533, 4079)",2,2,True,[533]
"(8583, 9718)",2,2,True,[8583]
"(533, 4079, 4781)",3,2,True,[533]
"(9333, 10653)",2,2,True,[9333]
"(3145, 9401)",2,2,True,[9401]
"(4913, 6480)",2,2,True,[6480]
"(8613, 10295)",2,2,True,"[8613, 10295]"
"(7180, 11129)",2,2,True,"[7180, 11129]"
"(985, 5742)",2,2,True,[5742]
"(72, 13579)",2,2,True,[13579]
"(1200, 4122, 5306)",3,2,True,[1200]
"(4840, 8508)",2,2,True,[4840]
"(294, 2408, 2417, 3551, 4713, 9334)",6,2,True,[3551]
"(12906, 13351)",2,2,True,"[12906, 13351]"
"(7550, 8540)",2,2,True,[7550]
"(318, 5906, 6814)",3,2,True,[5906]
"(4129, 6208)",2,2,True,"[4129, 6208]"
"(2575, 11299)",2,2,True,"[2575, 11299]"
"(48, 2058, 3338)",3,2,True,[3338]
"(4695, 8539)",2,2,True,[8539]
"(4516, 5525)",2,2,True,"[4516, 5525]"
"(2318, 4882)",2,2,True,[2318]
"(271, 13961)",2,2,True,[13961]
"(1300, 5353)",2,2,True,[1300]
"(445, 5697)",2,2,True,"[445, 5697]"
"(5005, 7008)",2,2,True,[7008]
"(4127, 12252)",2,2,True,[12252]
"(757, 13357)",2,2,True,"[757, 13357]"
"(1308, 5648)",2,2,True,[1308]
"(12931, 13916)",2,2,True,[12931]
"(4710, 10058)",2,2,True,[4710]
"(4394, 4737)",2,2,True,"[4394, 4737]"
"(11010, 13899)",2,2,True,[11010]
"(886, 1829, 2981)",3,2,True,"[1829, 2981]"
"(91, 466, 1223, 2504)",4,2,True,[1223]
"(2846, 4468, 5502)",3,2,True,"[2846, 4468]"
"(8789, 13125)",2,2,True,[8789]
"(12542, 13025)",2,2,True,[13025]
"(453, 2267, 3847, 4591, 10624)",5,2,True,[10624]
"(5174, 9636)",2,2,True,[9636]
"(218, 4222)",2,2,True,[4222]
"(313, 2882, 6561)",3,2,True,[2882]
"(7078, 13024)",2,2,True,[7078]
"(10296, 14104)",2,2,True,"[10296, 14104]"
"(3569, 13356)",2,2,True,"[3569, 13356]"
"(2274, 4934)",2,2,True,[4934]
"(334, 4152)",2,2,True,[4152]
"(1264, 3041)",2,2,True,[3041]
"(58, 10850, 12122)",3,2,True,[10850]
"(1577, 8189)",2,2,True,[8189]
