composition,family_count,system_frequency,has_novel_family,novel_families
"(8647, 9849)",2,2,True,[9849]
"(7205, 7372)",2,2,True,[7372]
"(682, 4426)",2,2,True,"[682, 4426]"
"(2216, 10491)",2,2,True,[2216]
"(3630, 5535)",2,2,True,[5535]
"(6370, 8145)",2,2,True,[6370]
"(306, 1611)",2,2,True,[1611]
"(760, 4191)",2,2,True,[4191]
"(194, 8216)",2,2,True,[8216]
"(11393, 12087)",2,2,True,[11393]
"(11752, 11931)",2,2,True,[11752]
"(671, 683)",2,2,True,"[671, 683]"
"(3823, 7849)",2,2,True,[3823]
"(3758, 5076)",2,2,True,[5076]
"(8065, 11762)",2,2,True,[8065]
"(1353, 5040)",2,2,True,[1353]
"(2164, 4878)",2,2,True,[4878]
"(4469, 7057)",2,2,True,[4469]
"(5392, 7833)",2,2,True,[7833]
"(2687, 7465)",2,2,True,[7465]
"(6134, 9017)",2,2,True,"[6134, 9017]"
"(8606, 9353)",2,2,True,[9353]
"(11899, 12051)",2,2,True,[12051]
"(1456, 9881)",2,2,True,[1456]
"(6102, 6127)",2,2,True,"[6102, 6127]"
"(6823, 7100)",2,2,True,[7100]
"(1222, 7625)",2,2,True,[7625]
"(5743, 8732)",2,2,True,[8732]
"(3959, 6984)",2,2,True,[6984]
"(3894, 4954)",2,2,True,[4954]
"(550, 1026)",2,2,True,[550]
"(4877, 10648)",2,2,True,"[4877, 10648]"
"(1245, 5053)",2,2,True,[1245]
"(1857, 1970)",2,2,True,[1857]
"(4710, 8564)",2,2,True,[8564]
"(4678, 11657)",2,2,True,[11657]
"(7532, 10152)",2,2,True,[7532]
"(2488, 7789)",2,2,True,[7789]
"(3081, 6113)",2,2,True,[6113]
"(3434, 7755)",2,2,True,[7755]
"(3072, 6198)",2,2,True,[6198]
"(765, 4294)",2,2,True,[4294]
"(6546, 10415)",2,2,True,[10415]
"(5478, 12577)",2,2,True,[12577]
"(3799, 4298)",2,2,True,[4298]
"(292, 349)",2,2,True,[349]
"(5787, 11007)",2,2,True,"[5787, 11007]"
"(197, 1293)",2,2,True,[1293]
"(4048, 8880)",2,2,True,[8880]
"(6878, 7563)",2,2,True,"[6878, 7563]"
"(5674, 8045)",2,2,True,[8045]
