Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(5691, 7644)",2,[7644],Fam_5691=RosmerTA__RmrA
"(4549, 8152)",2,[4549],Fam_8152=Unknown_Defense
"(8371, 9991)",2,[9991],Fam_8371=cas2_I_II_III_IV_V_VI_3
"(3237, 5171)",2,[3237],Fam_5171=Lit__Lit
"(614, 2723)",2,[2723],Fam_614=Shango__SngC
"(7125, 8020)",2,[7125],Fam_8020=Unknown_Defense
"(173, 5652)",2,[5652],Fam_173=Unknown_Defense
"(1525, 7993)",2,[7993],Fam_1525=Eleos__LeoA
"(1006, 8044)",2,[1006],Fam_8044=Unknown_Defense
"(2154, 4316)",2,[2154],Fam_4316=Unknown_Defense
"(3763, 5886)",2,[5886],Fam_3763=AbiEii__AbiEi
"(4287, 12318)",2,[4287],Fam_12318=Unknown_Defense
"(10766, 11341)",2,[11341],Fam_10766=MazEF__MazF
"(2264, 4650)",2,[2264],Fam_4650=Unknown_Defense
"(7029, 12744)",2,[12744],Fam_7029=cas1_I_II_III_IV_V_VI_10
"(1016, 2311)",2,[1016],Fam_2311=DarTG__DarT
"(2677, 4090)",2,"[2677, 4090]",Pure_Novel_System
"(4017, 9825)",2,"[4017, 9825]",Pure_Novel_System
"(9546, 11066)",2,[9546],Fam_11066=MazEF__MazF
"(197, 2864)",2,[2864],Fam_197=cas1_I_II_III_IV_V_VI_1
"(12277, 12466)",2,"[12277, 12466]",Pure_Novel_System
"(2269, 6207)",2,[2269],Fam_6207=Unknown_Defense
"(6826, 10918)",2,[10918],Fam_6826=AbiEii__AbiEii
"(100, 8785)",2,[8785],Fam_100=cas2_I_II_III_IV_V_VI_3
"(5370, 8011)",2,[5370],Fam_8011=DarTG__DarT
"(11905, 12090)",2,"[11905, 12090]",Pure_Novel_System
"(447, 1940)",2,[1940],Fam_447=RM_Type_II__Type_II_REases
"(6388, 6585)",2,[6388],Fam_6585=AbiEii__AbiEii
"(1366, 5014)",2,"[1366, 5014]",Pure_Novel_System
"(2815, 4845, 6015)",2,[2815],Fam_4845=AbiEii__AbiEii; Fam_6015=AbiEii__AbiEi
"(3502, 6742)",2,[3502],Fam_6742=Unknown_Defense
"(6134, 8291)",2,[6134],Fam_8291=Unknown_Defense
"(9216, 10078)",2,[9216],Fam_10078=Unknown_Defense
"(11303, 12315)",2,[12315],Fam_11303=PfiAT__PfiT
"(631, 1816)",2,[1816],Fam_631=RM_Type_II__Type_II_MTases
"(3650, 9096)",2,[3650],Fam_9096=Unknown_Defense
"(1049, 1598)",2,[1049],Fam_1598=Unknown_Defense
"(11824, 12545)",2,[12545],Fam_11824=MazEF__MazE
"(604, 642, 993)",2,[993],Fam_604=RM__Type_I_REases; Fam_642=RM__Type_I_MTases
"(426, 5180)",2,[5180],Fam_426=cas1_I_II_III_IV_V_VI_10
"(3356, 8175)",2,[3356],Fam_8175=Unknown_Defense
"(2320, 3378)",2,[3378],Fam_2320=Pycsar__AG_cyclase
"(1956, 8791)",2,[8791],Fam_1956=Unknown_Defense
"(3299, 9645)",2,"[3299, 9645]",Pure_Novel_System
"(11322, 12267)",2,[11322],Fam_12267=MazEF__MazE
"(2048, 12301)",2,[2048],Fam_12301=Unknown_Defense
"(330, 3511, 5670)",2,"[3511, 5670]",Fam_330=RM_Type_II__Type_II_REases
"(3959, 6152)",2,[6152],Fam_3959=AbiEii__AbiEii
"(33, 10901)",2,[10901],Fam_33=Avs_III__Avs3A
"(6552, 11419)",2,"[6552, 11419]",Pure_Novel_System
"(2968, 12691)",2,[2968],Fam_12691=Unknown_Defense
"(3545, 5267)",2,[3545],Fam_5267=RM_Type_II__Type_II_REases
"(5462, 8806)",2,[8806],Fam_5462=AbiEii__AbiEii
"(3485, 4279)",2,[4279],Fam_3485=Unknown_Defense
"(3195, 3964)",2,"[3195, 3964]",Pure_Novel_System
"(3333, 5641)",2,[3333],Fam_5641=ShosTA__ShosA
"(709, 1236)",2,[709],Fam_1236=Unknown_Defense
"(6151, 6439)",2,"[6151, 6439]",Pure_Novel_System
"(7713, 8399)",2,[8399],Fam_7713=Unknown_Defense
"(1294, 5514)",2,[5514],Fam_1294=RM_Type_II__Type_II_MTases
"(2108, 10530)",2,[10530],Fam_2108=cas1_I_II_III_IV_V_VI_1
"(914, 5685)",2,[5685],Fam_914=Wadjet__JetA_I
"(1287, 5360, 7652)",2,[5360],Fam_1287=Septu__PtuA; Fam_7652=Septu__PtuB
"(480, 8125)",2,[8125],Fam_480=cmr3gr5_III-B_III-C_5
"(11905, 12110)",2,[11905],Fam_12110=Unknown_Defense
"(975, 6583)",2,[6583],Fam_975=Pif__PifA
"(7623, 12017)",2,"[7623, 12017]",Pure_Novel_System
"(3718, 6864)",2,[3718],Fam_6864=Unknown_Defense
"(2608, 5304)",2,[5304],Fam_2608=RM_Type_II__Type_II_REases
"(8511, 9891)",2,[9891],Fam_8511=Unknown_Defense
"(1675, 6304)",2,[6304],Fam_1675=Unknown_Defense
"(406, 4658)",2,[4658],Fam_406=BREX__brxHII
"(5819, 7971)",2,[5819],Fam_7971=FS_HP__HP
"(2567, 9835)",2,"[2567, 9835]",Pure_Novel_System
"(10574, 12510)",2,[12510],Fam_10574=MazEF__MazF
"(515, 7592)",2,[7592],Fam_515=Unknown_Defense
"(6986, 12179)",2,"[6986, 12179]",Pure_Novel_System
"(1286, 11004)",2,[11004],Fam_1286=cas1_I_II_III_IV_V_VI_1
"(7067, 12021)",2,[12021],Fam_7067=AbiEii__AbiEii
"(1712, 6985)",2,[1712],Fam_6985=Unknown_Defense
"(6503, 10140)",2,[6503],Fam_10140=Unknown_Defense
"(853, 1516)",2,[1516],Fam_853=Eleos__LeoA
"(3210, 5322)",2,[3210],Fam_5322=Thoeris_I__ThsA_new_grand
"(10501, 12022)",2,[12022],Fam_10501=MazEF__MazF
"(3478, 7005)",2,[7005],Fam_3478=Septu__PtuA
"(6447, 8180)",2,[8180],Fam_6447=AbiEii__AbiEii
"(3936, 9209)",2,[9209],Fam_3936=Unknown_Defense
"(5065, 8852)",2,[5065],Fam_8852=Unknown_Defense
"(1900, 3777)",2,[3777],Fam_1900=RM_Type_II__Type_II_MTases
"(5181, 11944)",2,"[5181, 11944]",Pure_Novel_System
"(2792, 4420)",2,[4420],Fam_2792=Unknown_Defense
"(2068, 5893)",2,[5893],Fam_2068=Septu__PtuA
"(30, 2916)",2,[30],Fam_2916=Unknown_Defense
"(2683, 3403)",2,"[2683, 3403]",Pure_Novel_System
"(587, 5687)",2,[587],Fam_5687=RM_Type_II__Type_II_REases
"(8647, 9849)",2,[9849],Fam_8647=Unknown_Defense
"(7205, 7372)",2,[7372],Fam_7205=Unknown_Defense
"(682, 4426)",2,"[682, 4426]",Pure_Novel_System
"(2216, 10491)",2,[2216],Fam_10491=Detocs__dtcB
"(3630, 5535)",2,[5535],Fam_3630=Shedu__SduA
"(6370, 8145)",2,[6370],Fam_8145=AbiEii__AbiEi
"(306, 1611)",2,[1611],Fam_306=Unknown_Defense
"(760, 4191)",2,[4191],Fam_760=Unknown_Defense
"(194, 8216)",2,[8216],Fam_194=Unknown_Defense
"(11393, 12087)",2,[11393],Fam_12087=Unknown_Defense
"(11752, 11931)",2,[11752],Fam_11931=MazEF__MazE
"(671, 683)",2,"[671, 683]",Pure_Novel_System
"(3823, 7849)",2,[3823],Fam_7849=Unknown_Defense
"(3758, 5076)",2,[5076],Fam_3758=Unknown_Defense
"(8065, 11762)",2,[8065],Fam_11762=Unknown_Defense
"(1353, 5040)",2,[1353],Fam_5040=DarTG__DarT
"(2164, 4878)",2,[4878],Fam_2164=Zorya__ZorA2
"(4469, 7057)",2,[4469],Fam_7057=AbiEii__AbiEii
"(5392, 7833)",2,[7833],Fam_5392=AbiEii__AbiEii
"(2687, 7465)",2,[7465],Fam_2687=Septu__PtuA
"(6134, 9017)",2,"[6134, 9017]",Pure_Novel_System
"(8606, 9353)",2,[9353],Fam_8606=CBASS__Jab
"(11899, 12051)",2,[12051],Fam_11899=Unknown_Defense
"(1456, 9881)",2,[1456],Fam_9881=Unknown_Defense
"(6102, 6127)",2,"[6102, 6127]",Pure_Novel_System
"(6823, 7100)",2,[7100],Fam_6823=RM_Type_II__Type_II_REases
"(1222, 7625)",2,[7625],Fam_1222=Shango__SngC
"(5743, 8732)",2,[8732],Fam_5743=AbiEii__AbiEii
"(3959, 6984)",2,[6984],Fam_3959=AbiEii__AbiEii
"(3894, 4954)",2,[4954],Fam_3894=RosmerTA__RmrA
"(550, 1026)",2,[550],Fam_1026=Unknown_Defense
"(4877, 10648)",2,"[4877, 10648]",Pure_Novel_System
"(1245, 5053)",2,[1245],Fam_5053=RM_Type_II__Type_II_MTases
"(1857, 1970)",2,[1857],Fam_1970=DarTG__DarT
"(4710, 8564)",2,[8564],Fam_4710=RM_Type_II__Type_II_MTases
"(4678, 11657)",2,[11657],Fam_4678=cas1_I_II_III_IV_V_VI_7
"(7532, 10152)",2,[7532],Fam_10152=Unknown_Defense
"(2488, 7789)",2,[7789],Fam_2488=AbiL__AbiLi2
"(3081, 6113)",2,[6113],Fam_3081=Unknown_Defense
"(3434, 7755)",2,[7755],Fam_3434=PARIS_II__AriA_AAA21
"(3072, 6198)",2,[6198],Fam_3072=BREX__brxE
"(765, 4294)",2,[4294],Fam_765=Gao_Iet__IetS
"(6546, 10415)",2,[10415],Fam_6546=AbiEii__AbiEi
"(5478, 12577)",2,[12577],Fam_5478=Unknown_Defense
"(3799, 4298)",2,[4298],Fam_3799=SoFic__SoFic
"(292, 349)",2,[349],Fam_292=RM_Type_III__Type_III_REases
