composition,family_count,system_frequency,has_novel_family,novel_families
"(4115, 6032)",2,3,True,[4115]
"(2636, 8674)",2,3,False,[]
"(4106, 12642)",2,3,True,[12642]
"(3831, 6138)",2,3,True,[3831]
"(6085, 13152)",2,3,False,[]
"(7597, 11673)",2,3,True,[7597]
"(1471, 11956)",2,3,False,[]
"(3216, 11558)",2,3,False,[]
"(2553, 3994)",2,3,False,[]
"(4570, 8915)",2,3,False,[]
"(1824, 2867)",2,3,False,[]
"(4853, 5389)",2,3,False,[]
"(1236, 2390)",2,3,False,[]
"(10888, 13625)",2,3,True,[10888]
"(7114, 9971)",2,3,True,[7114]
"(1080, 3944)",2,3,False,[]
"(7791, 13641)",2,3,True,[7791]
"(5653, 7433)",2,3,False,[]
"(3293, 8870)",2,3,False,[]
"(3448, 5395)",2,3,False,[]
"(8031, 8516)",2,3,True,[8516]
"(4262, 5413)",2,3,True,[5413]
"(284, 4575)",2,3,True,"[284, 4575]"
"(5578, 9383, 9411)",3,3,False,[]
"(5617, 8700)",2,3,True,[8700]
"(845, 3068)",2,3,True,[3068]
"(404, 4159)",2,3,False,[]
"(7034, 7864)",2,3,True,"[7034, 7864]"
"(11728, 13252)",2,3,False,[]
"(4354, 7244)",2,3,False,[]
"(3957, 5029)",2,3,False,[]
"(1357, 10616)",2,3,False,[]
"(626, 1221)",2,3,False,[]
"(1419, 7632)",2,3,False,[]
"(6871, 11045)",2,3,False,[]
"(9661, 13661)",2,3,False,[]
"(6085, 12244)",2,3,False,[]
"(1301, 5862)",2,3,True,[5862]
"(991, 1840)",2,3,True,[1840]
"(2336, 9860)",2,3,True,[2336]
"(1468, 9597)",2,3,False,[]
"(1598, 6038)",2,3,True,[6038]
"(4300, 6111)",2,3,False,[]
"(11233, 11282)",2,3,False,[]
"(8066, 11022)",2,3,True,[11022]
"(2097, 3501)",2,3,False,[]
"(12936, 13534)",2,3,True,[12936]
