Source,Target,Weight,Source_Type,Target_Type
192,2069,4,Expanded_Known_Family,Expanded_Known_Family
192,5811,2,Expanded_Known_Family,Expanded_Known_Family
192,7357,1,Expanded_Known_Family,Known_Family_Only
192,3262,1,Expanded_Known_Family,Potential_Novel_Family
192,3614,1,Expanded_Known_Family,Potential_Novel_Family
192,3951,1,Expanded_Known_Family,Expanded_Known_Family
192,4026,1,Expanded_Known_Family,Expanded_Known_Family
192,6515,1,Expanded_Known_Family,Known_Family_Only
192,2460,1,Expanded_Known_Family,Potential_Novel_Family
192,4379,1,Expanded_Known_Family,Known_Family_Only
192,2855,1,Expanded_Known_Family,Known_Family_Only
192,3778,1,Expanded_Known_Family,Known_Family_Only
192,859,1,Expanded_Known_Family,Known_Family_Only
192,3264,1,Expanded_Known_Family,Potential_Novel_Family
192,3406,1,Expanded_Known_Family,Expanded_Known_Family
192,7095,1,Expanded_Known_Family,Potential_Novel_Family
192,1893,1,Expanded_Known_Family,Potential_Novel_Family
192,5165,1,Expanded_Known_Family,Potential_Novel_Family
192,5439,1,Expanded_Known_Family,Potential_Novel_Family
192,2218,1,Expanded_Known_Family,Expanded_Known_Family
192,4877,1,Expanded_Known_Family,Known_Family_Only
192,3398,4,Expanded_Known_Family,Potential_Novel_Family
192,2414,5,Expanded_Known_Family,Expanded_Known_Family
192,2295,2,Expanded_Known_Family,Expanded_Known_Family
192,2505,1,Expanded_Known_Family,Potential_Novel_Family
192,3414,1,Expanded_Known_Family,Potential_Novel_Family
192,2642,1,Expanded_Known_Family,Potential_Novel_Family
192,2906,1,Expanded_Known_Family,Potential_Novel_Family
6032,10278,16,Expanded_Known_Family,Expanded_Known_Family
6032,10202,8,Expanded_Known_Family,Expanded_Known_Family
6032,10719,2,Expanded_Known_Family,Expanded_Known_Family
6032,10747,4,Expanded_Known_Family,Expanded_Known_Family
6032,11058,1,Expanded_Known_Family,Potential_Novel_Family
6032,11176,3,Expanded_Known_Family,Expanded_Known_Family
6032,4115,3,Expanded_Known_Family,Potential_Novel_Family
6032,6973,1,Expanded_Known_Family,Potential_Novel_Family
6032,13065,2,Expanded_Known_Family,Known_Family_Only
6032,7741,1,Expanded_Known_Family,Known_Family_Only
6032,13342,1,Expanded_Known_Family,Potential_Novel_Family
6032,2618,2,Expanded_Known_Family,Expanded_Known_Family
6032,7358,1,Expanded_Known_Family,Potential_Novel_Family
6032,5959,1,Expanded_Known_Family,Potential_Novel_Family
6032,7480,1,Expanded_Known_Family,Potential_Novel_Family
6032,9593,2,Expanded_Known_Family,Potential_Novel_Family
6032,7277,2,Expanded_Known_Family,Expanded_Known_Family
6032,13571,1,Expanded_Known_Family,Potential_Novel_Family
6032,1857,2,Expanded_Known_Family,Expanded_Known_Family
6032,10878,1,Expanded_Known_Family,Potential_Novel_Family
6032,11836,1,Expanded_Known_Family,Known_Family_Only
6032,11320,1,Expanded_Known_Family,Potential_Novel_Family
6032,13311,1,Expanded_Known_Family,Potential_Novel_Family
6032,7073,1,Expanded_Known_Family,Potential_Novel_Family
6032,12516,1,Expanded_Known_Family,Known_Family_Only
6032,4777,1,Expanded_Known_Family,Potential_Novel_Family
6032,39,1,Expanded_Known_Family,Expanded_Known_Family
6032,1504,1,Expanded_Known_Family,Expanded_Known_Family
6032,8715,1,Expanded_Known_Family,Expanded_Known_Family
6032,678,1,Expanded_Known_Family,Expanded_Known_Family
6032,2328,1,Expanded_Known_Family,Known_Family_Only
6032,2848,1,Expanded_Known_Family,Known_Family_Only
6032,7188,1,Expanded_Known_Family,Expanded_Known_Family
10278,7277,2,Expanded_Known_Family,Expanded_Known_Family
1975,11382,1,Potential_Novel_Family,Known_Family_Only
12281,13759,1,Potential_Novel_Family,Potential_Novel_Family
6892,14267,1,Potential_Novel_Family,Potential_Novel_Family
7439,10916,1,Expanded_Known_Family,Known_Family_Only
7439,1942,1,Expanded_Known_Family,Expanded_Known_Family
7439,4119,1,Expanded_Known_Family,Expanded_Known_Family
2822,4020,2,Known_Family_Only,Expanded_Known_Family
4020,8237,2,Expanded_Known_Family,Expanded_Known_Family
4020,10307,1,Expanded_Known_Family,Known_Family_Only
4020,12195,1,Expanded_Known_Family,Potential_Novel_Family
4020,1259,2,Expanded_Known_Family,Expanded_Known_Family
4020,6257,1,Expanded_Known_Family,Potential_Novel_Family
4020,1206,1,Expanded_Known_Family,Potential_Novel_Family
4020,2304,1,Expanded_Known_Family,Potential_Novel_Family
4020,171,1,Expanded_Known_Family,Expanded_Known_Family
10036,11364,4,Expanded_Known_Family,Expanded_Known_Family
10036,1831,6,Expanded_Known_Family,Potential_Novel_Family
10036,7126,2,Expanded_Known_Family,Potential_Novel_Family
10036,79,1,Expanded_Known_Family,Expanded_Known_Family
10036,9173,1,Expanded_Known_Family,Expanded_Known_Family
10036,9178,1,Expanded_Known_Family,Potential_Novel_Family
10036,2023,1,Expanded_Known_Family,Expanded_Known_Family
10036,11280,1,Expanded_Known_Family,Potential_Novel_Family
10036,2022,2,Expanded_Known_Family,Expanded_Known_Family
10036,4280,1,Expanded_Known_Family,Potential_Novel_Family
10036,9277,1,Expanded_Known_Family,Potential_Novel_Family
10036,213,1,Expanded_Known_Family,Expanded_Known_Family
10036,12321,1,Expanded_Known_Family,Known_Family_Only
10036,6229,2,Expanded_Known_Family,Expanded_Known_Family
10036,9425,2,Expanded_Known_Family,Expanded_Known_Family
10036,461,1,Expanded_Known_Family,Potential_Novel_Family
10036,9135,1,Expanded_Known_Family,Potential_Novel_Family
10036,9074,1,Expanded_Known_Family,Potential_Novel_Family
11364,9802,5,Expanded_Known_Family,Expanded_Known_Family
11364,10203,1,Expanded_Known_Family,Potential_Novel_Family
11364,1186,1,Expanded_Known_Family,Expanded_Known_Family
11364,2096,1,Expanded_Known_Family,Expanded_Known_Family
