Composition,Frequency,Novel_Family_ID,Known_System_Function
"(3292, 3410)",4,[3410],Fam3292=cas10_III-D_3
"(607, 1924)",4,[1924],Fam607=Shango__SngB
"(7207, 9871)",4,[9871],Fam7207=AbiEii__AbiEii
"(6146, 9682)",4,[9682],Fam6146=SanaTA__SanaT
"(607, 2634)",4,[2634],Fam607=Shango__SngB
"(11335, 11914)",4,[11914],Fam11335=PfiAT__PfiA
"(5763, 8087)",4,[8087],Fam5763=AbiEii__AbiEii
"(558, 3724, 9659)",3,[3724],Fam558=Wadjet__JetC_I; Fam9659=Wadjet__JetB_I
"(3538, 9195)",3,[3538],Fam9195=Zorya__ZorB
"(1682, 3671)",3,[1682],Fam3671=Pycsar__AG_cyclase
"(2131, 4022)",3,[2131],Fam4022=BREX__brxL
"(2285, 7024)",3,[2285],Fam7024=PsyrTA__PsyrA
"(2623, 8358)",3,[8358],Fam2623=Pycsar__AG_cyclase
"(1645, 7145)",3,[1645],Fam7145=Bunzi__BnzA
"(4437, 9267)",3,[9267],Fam4437=RM_Type_II__Type_II_REases
"(2577, 4781)",3,[4781],Fam2577=CBASS__TRIP13
"(425, 763)",3,[425],Fam763=RM_Type_III__Type_III_REases
"(7336, 9009)",3,[9009],Fam7336=RM_Type_II__Type_II_REases
"(5920, 7618)",3,[5920],Fam7618=PARIS_II__AriB_DUF4435_II
"(358, 3770, 7077)",3,[7077],Fam358=Wadjet__JetC_I; Fam3770=Wadjet__JetA_I
"(1041, 1466)",3,[1466],Fam1041=RM_Type_III__Type_III_REases
"(1960, 8461)",3,[1960],Fam8461=Zorya__ZorB
"(6943, 8949)",3,[8949],Fam6943=AbiEii__AbiEii
"(9525, 10334)",3,[10334],Fam9525=AbiEii__AbiEii
"(12016, 12261)",3,[12261],Fam12016=PfiAT__PfiA
"(1887, 4971)",3,[1887],Fam4971=RM_Type_II__Type_II_MTases
"(1754, 6543)",3,[6543],Fam1754=Gao_Iet__IetS
"(430, 1694)",3,[430],Fam1694=GAPS2__GAPS2
"(6797, 9456)",3,[6797],Fam9456=Zorya__ZorB
"(10369, 11412)",3,[10369],Fam11412=PD-T4-9__PD-T4-9_C
"(9016, 12257)",3,[12257],Fam9016=RosmerTA__RmrT_2623274509
"(8415, 10070)",3,[10070],Fam8415=AbiEii__AbiEii
"(8854, 10185)",3,[10185],Fam8854=AbiEii__AbiEii
"(8029, 9842)",3,[9842],Fam8029=AbiEii__AbiEii
"(489, 4643)",3,[4643],Fam489=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(6087, 7751)",3,[6087],Fam7751=AbiEii__AbiEii
"(7686, 10091)",3,[10091],Fam7686=AbiEii__AbiEii
"(8289, 8948)",3,[8948],Fam8289=AbiEii__AbiEii
"(7207, 8835)",3,[8835],Fam7207=AbiEii__AbiEii
"(3469, 5491)",3,[3469],Fam5491=Zorya__ZorB
"(4590, 7699)",3,[7699],Fam4590=RM_Type_II__Type_II_MTases
"(6227, 7724)",3,[6227],Fam7724=AbiEii__AbiEii
"(7693, 9416)",3,[7693],Fam9416=Rst_Hydrolase-Tm__Hydrolase-Tm
"(3924, 10273)",3,[10273],Fam3924=Thoeris_I__ThsA_new_grand
"(5308, 7585)",3,[5308],Fam7585=AbiEii__AbiEi_3
"(6385, 9205)",3,[9205],Fam6385=AbiEii__AbiEii
"(3089, 4912)",3,"[3089, 4912]",Pure_Novel_System
"(1277, 5098, 10054)",3,[5098],Fam1277=Wadjet__JetC_I; Fam10054=Wadjet__JetB_III
